City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Farafangana,MG,2021-04-24 17:22:41,-22.8167,47.8333,72.23,87,31,5.19,moderate rain
129,Namibe,AO,2021-04-24 17:19:14,-15.1961,12.1522,80.04,74,64,10.65,broken clouds
130,Provideniya,RU,2021-04-24 17:22:41,64.3833,-173.3,31.96,92,81,1.39,broken clouds
131,Freeport,US,2021-04-24 17:22:41,40.6576,-73.5832,69.01,26,1,12.66,clear sky
132,Nioro,GM,2021-04-24 17:22:42,13.35,-15.75,101.86,10,31,7.52,scattered clouds
133,Keizer,US,2021-04-24 17:22:42,44.9901,-123.0262,50.0,76,90,8.05,light rain
134,Diego De Almagro,CL,2021-04-24 17:22:42,-26.3667,-70.05,71.92,28,0,8.63,clear sky
135,Salalah,OM,2021-04-24 17:22:43,17.0151,54.0924,82.53,73,19,7.56,few clouds
136,Bow Island,CA,2021-04-24 17:22:43,49.8668,-111.3684,41.0,33,99,4.61,overcast clouds
137,Sandur,IN,2021-04-24 17:22:43,15.1,76.55,85.98,44,45,5.03,scattered clouds
138,Qaanaaq,GL,2021-04-24 17:18:25,77.484,-69.3632,28.08,65,100,8.46,overcast clouds
139,Sar-E Pul,AF,2021-04-24 17:22:43,35.8333,66.1667,56.82,31,98,2.86,overcast clouds
140,Sines,PT,2021-04-24 17:22:44,37.9562,-8.8698,68.0,72,81,8.01,broken clouds
141,Cayenne,GF,2021-04-24 17:22:44,4.9333,-52.3333,78.8,94,90,5.75,light rain
142,Tecoanapa,MX,2021-04-24 17:22:44,16.5167,-98.75,85.03,53,68,8.7,broken clouds
143,Codrington,AU,2021-04-24 17:22:45,-38.2667,141.9667,50.61,91,100,6.46,overcast clouds
144,Ponta Do Sol,PT,2021-04-24 17:22:45,32.6667,-17.1,64.0,74,36,1.99,scattered clouds
145,Capreol,CA,2021-04-24 17:22:45,46.706,-80.9225,57.99,35,75,10.36,broken clouds
146,Saldanha,ZA,2021-04-24 17:22:45,-33.0117,17.9442,66.2,55,91,6.91,overcast clouds
147,Sant Feliu De Guixols,ES,2021-04-24 17:22:46,41.7833,3.0333,63.0,22,96,9.42,overcast clouds
148,Havre-Saint-Pierre,CA,2021-04-24 17:22:46,50.2334,-63.5986,44.6,65,40,16.11,scattered clouds
149,Ayan,RU,2021-04-24 17:22:46,56.45,138.1667,24.4,74,79,11.16,broken clouds
150,Mizan Teferi,ET,2021-04-24 17:22:47,6.9833,35.5833,63.21,98,100,0.13,moderate rain
151,Tranbjerg,DK,2021-04-24 17:22:47,56.0901,10.1194,46.0,42,90,5.75,overcast clouds
152,Kenai,US,2021-04-24 17:22:47,60.5544,-151.2583,39.2,81,1,3.58,clear sky
153,Saint George,US,2021-04-24 17:22:47,37.1041,-113.5841,75.0,17,1,11.5,clear sky
154,Narsaq,GL,2021-04-24 17:22:48,60.9167,-46.05,59.0,29,75,25.32,broken clouds
155,Kempele,FI,2021-04-24 17:22:48,64.9131,25.5034,37.4,81,90,9.22,overcast clouds
156,Kortkeros,RU,2021-04-24 17:22:48,61.8106,51.5806,50.0,57,0,4.47,clear sky
157,Shahreza,IR,2021-04-24 17:22:49,32.0339,51.8794,71.26,15,66,5.88,broken clouds
158,Klaksvik,FO,2021-04-24 17:22:23,62.2266,-6.589,51.8,50,87,3.44,overcast clouds
159,Mayor Pablo Lagerenza,PY,2021-04-24 17:22:49,-19.9309,-60.7718,76.19,86,98,9.75,overcast clouds
160,Kiunga,PG,2021-04-24 17:22:49,-6.1219,141.2906,73.85,99,100,2.08,moderate rain
161,Kapit,MY,2021-04-24 17:22:49,2.0167,112.9333,73.0,99,78,0.89,broken clouds
162,Imbituba,BR,2021-04-24 17:22:50,-28.24,-48.6703,77.0,69,20,6.91,few clouds
163,Pevek,RU,2021-04-24 17:22:50,69.7008,170.3133,15.49,90,100,2.75,overcast clouds
164,Hobyo,SO,2021-04-24 17:22:50,5.3505,48.5268,84.25,69,37,13.62,scattered clouds
165,Korla,CN,2021-04-24 17:22:51,41.7597,86.1469,51.82,44,12,8.72,few clouds
166,Avarua,CK,2021-04-24 17:20:08,-21.2078,-159.775,78.8,73,99,12.66,overcast clouds
167,Tigil,RU,2021-04-24 17:20:09,57.8,158.6667,28.09,97,100,6.04,snow
168,Kruisfontein,ZA,2021-04-24 17:19:33,-34.0033,24.7314,60.01,92,93,1.99,overcast clouds
169,Hualmay,PE,2021-04-24 17:22:51,-11.0964,-77.6139,71.92,72,13,10.13,few clouds
170,Tongzi,CN,2021-04-24 17:22:51,28.7829,105.0877,65.1,84,94,5.88,light rain
171,Saint-Philippe,RE,2021-04-24 17:22:52,-21.3585,55.7679,77.0,88,20,26.46,moderate rain
172,Lompoc,US,2021-04-24 17:22:52,34.6391,-120.4579,53.6,71,11,8.05,few clouds
173,Great Bend,US,2021-04-24 17:22:52,38.3645,-98.7648,62.01,66,1,12.66,clear sky
174,Kozhva,RU,2021-04-24 17:22:53,65.1073,57.0459,44.31,83,73,6.6,broken clouds
175,Alyangula,AU,2021-04-24 17:22:53,-13.8483,136.4192,69.8,100,100,8.08,overcast clouds
176,Riyadh,SA,2021-04-24 17:21:07,24.6877,46.7219,95.0,13,0,7.4,clear sky
177,Acajutla,SV,2021-04-24 17:19:02,13.5928,-89.8275,87.8,45,40,8.05,scattered clouds
178,Atbasar,KZ,2021-04-24 17:22:53,51.8,68.3333,45.82,39,100,14.52,overcast clouds
179,Maltahohe,NA,2021-04-24 17:22:53,-24.8333,16.9833,73.63,21,11,9.55,few clouds
180,Road Town,VG,2021-04-24 17:22:54,18.4167,-64.6167,86.0,69,40,10.36,scattered clouds
181,Okhotsk,RU,2021-04-24 17:19:52,59.3833,143.3,14.34,72,67,15.32,broken clouds
182,Port Elizabeth,ZA,2021-04-24 17:19:58,-33.918,25.5701,57.2,100,0,8.05,clear sky
183,Southbridge,US,2021-04-24 17:19:41,42.0751,-72.0334,69.01,22,19,1.01,few clouds
184,Shache,CN,2021-04-24 17:22:54,38.4167,77.2406,63.64,10,92,3.04,overcast clouds
185,Sao Gabriel Da Cachoeira,BR,2021-04-24 17:20:05,-0.1303,-67.0892,89.6,62,40,5.75,scattered clouds
186,Castro,BR,2021-04-24 17:22:55,-24.7911,-50.0119,74.52,48,18,5.19,few clouds
187,Fort Nelson,CA,2021-04-24 17:18:21,58.8053,-122.7002,37.4,44,20,6.91,few clouds
188,Bengkulu,ID,2021-04-24 17:22:55,-3.8004,102.2655,76.32,87,100,4.54,overcast clouds
189,Kaitangata,NZ,2021-04-24 17:22:55,-46.2817,169.8464,44.01,89,47,3.0,scattered clouds
190,Acapulco,MX,2021-04-24 17:19:59,16.8634,-99.8901,86.0,45,75,6.91,broken clouds
191,Guanay,BO,2021-04-24 17:22:56,-15.4975,-67.8797,85.06,64,60,2.82,broken clouds
192,Quatre Cocos,MU,2021-04-24 17:22:56,-20.2078,57.7625,79.0,89,75,14.97,light rain
193,Laguna,US,2021-04-24 17:21:27,38.421,-121.4238,60.01,62,1,5.75,clear sky
194,Manta,EC,2021-04-24 17:21:32,-0.95,-80.7333,80.6,78,40,9.22,scattered clouds
195,The Valley,AI,2021-04-24 17:22:56,18.217,-63.0578,86.0,65,20,14.97,few clouds
196,Lhokseumawe,ID,2021-04-24 17:22:57,5.1801,97.1507,77.0,89,100,4.94,overcast clouds
197,Ambilobe,MG,2021-04-24 17:22:57,-13.2,49.05,75.22,89,38,2.71,scattered clouds
198,Humaita,BR,2021-04-24 17:22:57,-7.5061,-63.0208,84.96,81,86,3.24,overcast clouds
199,Nezhinka,RU,2021-04-24 17:22:57,51.7676,55.3694,46.4,93,90,2.24,mist
200,West Wendover,US,2021-04-24 17:22:18,40.7391,-114.0733,59.0,20,1,5.75,clear sky
201,Ust-Nera,RU,2021-04-24 17:22:58,64.5667,143.2,-6.75,89,18,1.34,few clouds
202,Knysna,ZA,2021-04-24 17:22:58,-34.0363,23.0471,59.0,88,90,2.3,overcast clouds
203,Camaqua,BR,2021-04-24 17:22:58,-30.8511,-51.8122,85.08,34,42,3.29,scattered clouds
204,Calabozo,VE,2021-04-24 17:20:55,8.9242,-67.4293,97.7,30,3,9.44,clear sky
205,Lentekhi,GE,2021-04-24 17:22:59,42.7856,42.7261,50.16,90,93,5.84,overcast clouds
206,Taltal,CL,2021-04-24 17:22:59,-25.4,-70.4833,64.98,72,12,5.95,few clouds
207,Nazareno,MX,2021-04-24 17:22:59,25.3833,-103.4167,78.8,7,1,8.14,clear sky
208,Urozhaynoye,RU,2021-04-24 17:22:59,44.7883,44.9228,59.05,58,93,7.99,overcast clouds
209,Vila Velha,BR,2021-04-24 17:20:47,-20.3297,-40.2925,82.4,61,20,10.36,few clouds
210,Lufilufi,WS,2021-04-24 17:23:00,-13.8745,-171.5986,73.4,100,20,8.81,few clouds
211,Cabo San Lucas,MX,2021-04-24 17:23:00,22.8909,-109.9124,82.99,41,1,8.05,clear sky
212,Lambarene,GA,2021-04-24 17:23:00,-0.7001,10.2406,72.61,92,100,0.65,overcast clouds
213,Longyearbyen,SJ,2021-04-24 17:23:01,78.2186,15.6401,26.6,68,75,5.75,light snow
214,Gat,IL,2021-04-24 17:21:51,31.61,34.7642,71.01,100,0,5.03,clear sky
215,Rayong,TH,2021-04-24 17:23:01,12.8333,101.4333,87.01,82,100,4.74,overcast clouds
216,Rawson,AR,2021-04-24 17:23:01,-43.3002,-65.1023,58.87,50,5,0.83,clear sky
217,Avera,US,2021-04-24 17:23:02,33.194,-82.5271,64.4,97,90,11.5,overcast clouds
218,Virginia Beach,US,2021-04-24 17:23:02,36.8529,-75.978,66.99,52,90,9.22,overcast clouds
219,Roald,NO,2021-04-24 17:23:02,62.5833,6.1333,41.0,56,75,5.75,broken clouds
220,Fare,PF,2021-04-24 17:23:02,-16.7,-151.0167,79.88,73,100,7.52,light rain
