City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
424,424,Alta Floresta,BR,2021-04-24 17:23:54,-9.8756,-56.0861,84.2,70,40,3.44,scattered clouds
425,425,Umm Lajj,SA,2021-04-24 17:23:54,25.0213,37.2685,82.45,53,0,5.14,clear sky
426,426,Georgetown,MY,2021-04-24 17:23:54,5.4112,100.3354,82.0,89,40,4.61,scattered clouds
427,427,Batticaloa,LK,2021-04-24 17:23:54,7.7102,81.6924,81.93,73,12,6.69,few clouds
429,429,Tura,IN,2021-04-24 17:23:55,25.5198,90.2201,78.15,29,65,4.32,broken clouds
430,430,Cabatuan,PH,2021-04-24 17:23:55,10.8794,122.486,77.16,78,76,2.86,broken clouds
431,431,Silifke,TR,2021-04-24 17:23:56,36.3778,33.9344,75.47,36,18,3.22,few clouds
435,435,Ligayan,PH,2021-04-24 17:23:57,4.6533,119.4706,82.36,76,31,5.91,scattered clouds
438,438,Labuhan,ID,2021-04-24 17:23:57,-6.8844,112.2051,78.53,82,75,6.2,broken clouds
439,439,Maoming,CN,2021-04-24 17:23:57,21.65,110.9,77.18,87,57,9.53,broken clouds
441,441,Honiara,SB,2021-04-24 17:23:58,-9.4333,159.95,77.67,83,56,2.95,broken clouds
442,442,Huarmey,PE,2021-04-24 17:23:58,-10.0681,-78.1522,72.64,74,5,11.32,clear sky
445,445,Port Blair,IN,2021-04-24 17:22:04,11.6667,92.75,82.22,71,34,8.19,scattered clouds
447,447,Dalbandin,PK,2021-04-24 17:23:59,28.8947,64.4101,83.19,7,0,6.49,clear sky
451,451,Galle,LK,2021-04-24 17:24:00,6.0367,80.217,80.46,82,72,2.48,broken clouds
458,458,Morro Da Fumaca,BR,2021-04-24 17:24:02,-28.6508,-49.21,78.26,56,14,7.83,few clouds
464,464,Saint-Francois,FR,2021-04-24 17:24:03,46.4154,3.9054,73.4,33,0,10.36,clear sky
465,465,Veinticinco De Mayo,AR,2021-04-24 17:24:03,-35.4323,-60.1727,70.0,64,0,13.0,clear sky
466,466,Vaitape,PF,2021-04-24 17:24:03,-16.5167,-151.75,79.75,75,100,8.41,light rain
469,469,Omboue,GA,2021-04-24 17:24:04,-1.5746,9.2618,79.39,79,100,5.86,overcast clouds
470,470,Nueva Loja,EC,2021-04-24 17:24:05,0.0847,-76.8828,84.2,70,75,4.61,broken clouds
471,471,Meulaboh,ID,2021-04-24 17:24:05,4.1363,96.1285,76.19,86,100,3.71,overcast clouds
474,474,Paraisopolis,BR,2021-04-24 17:24:05,-22.5542,-45.78,77.0,57,20,3.44,few clouds
476,476,Pokhara,NP,2021-04-24 17:24:06,28.2333,83.9833,72.1,28,99,7.58,overcast clouds
478,478,Yangjiang,CN,2021-04-24 17:24:07,21.85,111.9667,76.19,89,14,6.02,few clouds
479,479,Ambon,ID,2021-04-24 17:24:07,-3.6954,128.1814,77.0,94,40,6.91,scattered clouds
480,480,Puro,PH,2021-04-24 17:24:07,12.4841,123.3827,80.6,75,68,0.63,broken clouds
482,482,Gizo,SB,2021-04-24 17:24:08,-8.103,156.8419,81.43,78,66,6.13,light rain
487,487,Makakilo City,US,2021-04-24 17:19:33,21.3469,-158.0858,75.2,68,20,8.05,few clouds
