City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Puerto Ayora,EC,2021-04-22 02:43:01,-0.7393,-90.3518,75.99,97,81,3.0
156,Sao Filipe,CV,2021-04-22 02:43:02,14.8961,-24.4956,72.32,70,93,12.71
157,Pangkalanbuun,ID,2021-04-22 02:43:02,-2.6833,111.6167,89.44,50,100,4.65
158,Souillac,MU,2021-04-22 02:43:02,-20.5167,57.5167,77.0,88,40,3.44
159,Assiniboia,CA,2021-04-22 02:43:02,49.6334,-105.9845,46.4,25,0,9.22
160,Gorom-Gorom,BF,2021-04-22 02:43:03,14.4439,-0.2361,84.52,10,52,4.68
161,Deputatskiy,RU,2021-04-22 02:43:03,69.3,139.9,12.42,72,100,4.76
162,Barrow,US,2021-04-22 02:43:03,71.2906,-156.7887,21.2,93,90,9.22
163,Bengkulu,ID,2021-04-22 02:43:04,-3.8004,102.2655,83.05,68,44,3.38
164,Zaysan,KZ,2021-04-22 02:43:04,47.4667,84.8667,33.15,58,66,9.19
165,Praia,CV,2021-04-22 02:42:43,14.9215,-23.5087,69.8,78,20,13.8
166,Ligayan,PH,2021-04-22 02:43:04,4.6533,119.4706,83.01,68,91,2.21
167,Ban Nahin,LA,2021-04-22 02:43:05,18.2418,104.2122,89.01,59,49,2.95
168,Cockburn Town,TC,2021-04-22 02:43:05,21.4612,-71.1419,78.1,80,61,20.0
169,Salalah,OM,2021-04-22 02:43:05,17.0151,54.0924,78.8,73,40,4.61
170,Kota Belud,MY,2021-04-22 02:43:05,6.351,116.4305,87.8,70,20,5.75
171,Alexandria,EG,2021-04-22 02:41:00,31.2156,29.9553,60.8,77,40,8.05
172,Neiafu,TO,2021-04-22 02:43:06,-18.65,-173.9833,84.2,79,75,14.34
173,Lata,PT,2021-04-22 02:43:06,40.1629,-8.3327,55.99,95,99,1.01
174,Kangaatsiaq,GL,2021-04-22 02:43:06,68.3065,-53.4641,17.35,85,60,9.31
175,Mayor Pablo Lagerenza,PY,2021-04-22 02:43:07,-19.9309,-60.7718,81.97,51,93,7.4
176,Szank,HU,2021-04-22 02:43:07,46.5571,19.661,48.0,76,0,6.91
177,Bazarnyye Mataki,RU,2021-04-22 02:43:07,54.8833,49.9333,39.34,94,100,11.21
178,Kolo,PL,2021-04-22 02:43:07,52.2002,18.6387,45.0,90,97,1.01
179,Hamilton,US,2021-04-22 02:40:55,39.1834,-84.5333,36.0,80,20,4.61
180,Talara,PE,2021-04-22 02:43:08,-4.5772,-81.2719,70.79,81,41,11.07
181,Halifax,CA,2021-04-22 02:41:57,44.6453,-63.5724,48.99,93,40,5.75
182,Bambanglipuro,ID,2021-04-22 02:43:08,-7.95,110.2833,84.6,61,44,9.35
183,Kununurra,AU,2021-04-22 02:43:08,-15.7667,128.7333,91.4,29,42,10.36
184,Galeana,MX,2021-04-22 02:43:09,24.8333,-100.0667,57.0,70,59,8.01
185,Alugan,PH,2021-04-22 02:43:09,12.2188,125.4808,84.25,70,49,11.43
186,Concepcion Del Oro,MX,2021-04-22 02:43:09,24.6333,-101.4167,60.08,47,10,10.2
187,Rosarito,MX,2021-04-22 02:43:09,32.3333,-117.0333,57.2,82,90,12.66
188,Westport,US,2021-04-22 02:43:10,41.1415,-73.3579,39.99,56,25,15.86
189,Te Anau,NZ,2021-04-22 02:43:10,-45.4167,167.7167,55.17,80,100,5.91
190,Romny,UA,2021-04-22 02:43:10,50.751,33.4747,39.49,90,47,8.16
191,Lima,PE,2021-04-22 02:39:47,-12.0432,-77.0282,69.01,82,0,12.66
192,Narsaq,GL,2021-04-22 02:43:11,60.9167,-46.05,46.4,29,75,34.52
193,Nikolskoye,RU,2021-04-22 02:43:11,59.7035,30.7861,35.01,93,40,6.71
194,San Jose,US,2021-04-22 02:40:52,37.3394,-121.895,59.0,67,20,16.11
195,Pombas,CV,2021-04-22 02:43:11,17.1503,-25.0201,69.8,73,75,16.11
196,Bayburt,TR,2021-04-22 02:43:12,40.2589,40.2278,43.65,79,0,2.39
197,Peniche,PT,2021-04-22 02:43:12,39.3558,-9.3811,59.0,87,56,3.0
198,Uruzgan,AF,2021-04-22 02:43:12,32.8333,66.0,60.49,31,70,5.95
